Código - Nome,Turma,Vagas,Número créditos aula teórica,Número de créditos aula prática,Número de turmas agrupadas aula teórica,Turmas teóricas agrupadas,Número de turmas agrupadas aula prática,Turmas práticas agrupadas,Número de professores,Professor,Formato,Indicação de professor,Indicação de Horário,Ambiente,Carga Didática,Vagas Efetivas,Observações
EMB5001 - Cálculo Diferencial e Integral I,01607,25,2,2,2,01607/01608,2,01607/01608,1,Alexandre Mikowski,2+2,Área da Matemática,Departamento,Sala Comum,2.00,25,
EMB5001 - Cálculo Diferencial e Integral I,01608,25,2,2,2,01607/01608,2,01607/01608,1,Alexandre Mikowski,2+2,Área da Matemática,Departamento,Sala Comum,2.00,25,
EMB5001 - Cálculo Diferencial e Integral I,99601G,50,2,2,1,99601G,1,99601G,1,Thales Maier de Souza,2+2,Área da Matemática,Departamento,Sala Comum,4.00,50,
EMB5005 - Geometria Analítica,01601,30,2,2,2,01601/01604,2,01601/01604,1,Leonardo Moreto Elias,2+2,Área da Matemática,Departamento,Sala Comum,2.00,30,
EMB5005 - Geometria Analítica,01602,25,2,2,2,01602/01605,2,01602/01605,1,Marielle Aparecida Silva,2+2,Área da Matemática,Departamento,Sala Comum,2.00,25,
EMB5005 - Geometria Analítica,01603,25,2,2,2,01603/01606,2,01603/01606,1,Marielle Aparecida Silva,2+2,Área da Matemática,Departamento,Sala Comum,2.00,25,
EMB5005 - Geometria Analítica,01604,20,2,2,2,01601/01604,2,01601/01604,1,Leonardo Moreto Elias,2+2,Área da Matemática,Departamento,Sala Comum,2.00,20,
EMB5005 - Geometria Analítica,01605,25,2,2,2,01602/01605,2,01602/01605,1,Marielle Aparecida Silva,2+2,Área da Matemática,Departamento,Sala Comum,2.00,25,
EMB5005 - Geometria Analítica,01606,25,2,2,2,01603/01606,2,01603/01606,1,Marielle Aparecida Silva,2+2,Área da Matemática,Departamento,Sala Comum,2.00,25,
EMB5005 - Geometria Analítica,01607,25,2,2,2,01607/01608,2,01607/01608,1,Luiz Gustavo Cordeiro,2+2,Área da Matemática,Departamento,Sala Comum,2.00,25,
EMB5005 - Geometria Analítica,01608,25,2,2,2,01607/01608,2,01607/01608,1,Luiz Gustavo Cordeiro,2+2,Área da Matemática,Departamento,Sala Comum,2.00,25,
EMB5005 - Geometria Analítica,99601G,50,2,2,1,99601G,1,99601G,1,Leonardo Moreto Elias,2+2,Área da Matemática,Departamento,Sala Comum,4.00,50,
EMB5007 - Álgebra Linear,02601,20,2,2,2,02601/02604,2,02601/02604,1,Marielle Aparecida Silva,2+2,Área da Matemática,Departamento,Sala Comum,2.00,20,
EMB5007 - Álgebra Linear,02602,25,2,2,2,02602/02605,2,02602/02605,1,Susie Cristine Keller,2+2,Área da Matemática,Departamento,Sala Comum,2.00,25,
EMB5007 - Álgebra Linear,02603,25,2,2,2,02603/02606,2,02603/02606,1,Susie Cristine Keller,2+2,Área da Matemática,Departamento,Sala Comum,2.00,25,
EMB5007 - Álgebra Linear,02604,25,2,2,2,02601/02604,2,02601/02604,1,Marielle Aparecida Silva,2+2,Área da Matemática,Departamento,Sala Comum,2.00,25,
EMB5007 - Álgebra Linear,02605,25,2,2,2,02602/02605,2,02602/02605,1,Susie Cristine Keller,2+2,Área da Matemática,Departamento,Sala Comum,2.00,25,
EMB5007 - Álgebra Linear,02606,25,2,2,2,02603/02606,2,02603/02606,1,Susie Cristine Keller,2+2,Área da Matemática,Departamento,Sala Comum,2.00,25,
EMB5007 - Álgebra Linear,02607,25,2,2,2,02607/02608,2,02607/02608,1,Rafael Machado Casali,2+2,Área da Matemática,Departamento,Sala Comum,2.00,25,
EMB5007 - Álgebra Linear,02608,25,2,2,2,02607/02608,2,02607/02608,1,Rafael Machado Casali,2+2,Área da Matemática,Departamento,Sala Comum,2.00,25,
EMB5014 - Séries e Equações Diferenciais,04601,20,2,2,3,04601/04602/04604,3,04601/04602/04604,1,Diogo Nardelli Siebert,2+2,Área da Matemática,Departamento,Sala Comum,1.33,20,
EMB5014 - Séries e Equações Diferenciais,04602,25,2,2,3,04601/04602/04604,3,04601/04602/04604,1,Diogo Nardelli Siebert,2+2,Área da Matemática,Departamento,Sala Comum,1.33,25,
EMB5014 - Séries e Equações Diferenciais,04603,25,2,2,2,04603/04606,2,04603/04606,1,Diogo Lôndero da Silva,2+2,Área da Matemática,Departamento,Sala Comum,2.00,25,
